XCoord,YCoord,POINT_X,POINT_Y
1383498.11991300,1133234.20115556,1383498.119910,1133234.201160
1383365.74144077,1133150.65080833,1383365.741440,1133150.650810
1383227.93762133,1133087.71678056,1383227.937620,1133087.716780
1383094.47407964,1133050.82441944,1383094.474080,1133050.824420
1383002.24317685,1133036.71851666,1383002.243180,1133036.718520
1382881.80046853,1133003.08136389,1382881.800470,1133003.081360
1382564.96019079,1132928.21157223,1382564.960190,1132928.211570
1382492.26053798,1132894.57441945,1382492.260540,1132894.574420
1382280.67199634,1132870.70289166,1382280.672000,1132870.702890
1382207.97234353,1132844.66122499,1382207.972340,1132844.661220
1382135.27269074,1132755.68553054,1382135.272690,1132755.685530
1382082.10428794,1132661.28448889,1382082.104290,1132661.284490
1381999.63901021,1132575.56400277,1381999.639010,1132575.564000
1381962.74664907,1132533.24629444,1381962.746650,1132533.246290
1381831.45324631,1132434.50497499,1381831.453250,1132434.504970
1381734.88206574,1132284.76539166,1381734.882070,1132284.765390
1381657.84213519,1132112.23934999,1381657.842140,1132112.239350
1381614.43935743,1131957.07441944,1381614.439360,1131957.074420
1381611.18414906,1131781.29316945,1381611.184150,1131781.293170
1381613.35428797,1131608.76712778,1381613.354290,1131608.767130
1381624.20498243,1131478.55879444,1381624.204980,1131478.558790
1381618.77963521,1131321.22372501,1381618.779640,1131321.223730
1381604.67373243,1131175.82441944,1381604.673730,1131175.824420
1381619.86470465,1131040.19073889,1381619.864700,1131040.190740
1381580.80220462,1131002.21330833,1381580.802200,1131002.213310
1381513.52789910,1131002.21330833,1381513.527900,1131002.213310
1381469.04005183,1130947.95983611,1381469.040050,1130947.959840
1381457.10428798,1130857.89907223,1381457.104290,1130857.899070
1381457.10428798,1130727.69073889,1381457.104290,1130727.690740
1381421.29699631,1130506.33657221,1381421.297000,1130506.336570
1381370.29873243,1130325.12997501,1381370.298730,1130325.129980
1381333.40637130,1130171.05011390,1381333.406370,1130171.050110
1381307.06088519,1130081.94421111,1381307.060890,1130081.944210
1381252.89421855,1129986.63171111,1381252.894220,1129986.631710
1381197.16505188,1129913.71504445,1381197.165050,1129913.715040
1381142.99838519,1129832.46504444,1381142.998390,1129832.465040
1381074.76921852,1129736.11087778,1381074.769220,1129736.110880
1381016.43588519,1129647.04837777,1381016.435890,1129647.048380
1380945.60255188,1129578.81921110,1380945.602550,1129578.819210
1380829.97755185,1129458.50671110,1380829.977550,1129458.506710
1380702.89421855,1129378.81921110,1380702.894220,1129378.819210
1380629.45671852,1129263.71504444,1380629.456720,1129263.715040
1380578.24144076,1129198.09004444,1380578.241440,1129198.090040
1380544.38727407,1129132.98587777,1380544.387270,1129132.985880
1380402.89421852,1129080.90254444,1380402.894220,1129080.902540
1380245.77616294,1129049.65254444,1380245.776160,1129049.652540
1380162.44282962,1129022.74282223,1380162.442830,1129022.742820
1380040.04699631,1128979.34004445,1380040.047000,1128979.340040
1379957.58171852,1128916.84004444,1379957.581720,1128916.840040
1379886.40116297,1128870.83309999,1379886.401160,1128870.833100
1379842.13032964,1128865.62476668,1379842.130330,1128865.624770
1379781.36644074,1128871.70115554,1379781.366440,1128871.701160
1379735.35949628,1128823.09004444,1379735.359500,1128823.090040
1379559.14421852,1128711.11087778,1379559.144220,1128711.110880
1379409.83866295,1128580.03448889,1379409.838660,1128580.034490
1379337.79005186,1128480.20809999,1379337.790050,1128480.208100
1379272.68588521,1128348.26365556,1379272.685890,1128348.263660
1379198.03310743,1128245.83310001,1379198.033110,1128245.833100
1379149.42199631,1128111.28448889,1379149.422000,1128111.284490
1379094.73449631,1128004.51365554,1379094.734500,1128004.513660
1379074.76921853,1127995.83310001,1379074.769220,1127995.833100
1378987.96366297,1128013.19421111,1378987.963660,1128013.194210
1378854.28310741,1127991.49282223,1378854.283110,1127991.492820
1378753.58866297,1127958.50671111,1378753.588660,1127958.506710
1378643.34560743,1127939.40948889,1378643.345610,1127939.409490
1378544.38727409,1127887.32615554,1378544.387270,1127887.326160
1378444.56088516,1127832.63865554,1378444.560890,1127832.638660
1378363.29557636,1127778.02409583,1378363.295580,1127778.024100
1387829.41970831,1137545.58051944,1387829.419710,1137545.580520
1387735.94181693,1137450.25511970,1387735.941820,1137450.255120
1387670.83765027,1137378.64053635,1387670.837650,1137378.640540
1387590.10848360,1137290.09886968,1387590.108480,1137290.098870
1387566.67098358,1137239.31761968,1387566.670980,1137239.317620
1387600.52515027,1137146.86970302,1387600.525150,1137146.869700
1387521.09806691,1137111.71345302,1387521.098070,1137111.713450
1387463.80640027,1137036.19261968,1387463.806400,1137036.192620
1387393.49390025,1137008.84886968,1387393.493900,1137008.848870
1387302.34806693,1137012.75511968,1387302.348070,1137012.755120
1387200.78556693,1137024.47386970,1387200.785570,1137024.473870
1387107.03556694,1136978.90095302,1387107.035570,1136978.900950
1387008.07723361,1136965.88011970,1387008.077230,1136965.880120
1387019.79598360,1137081.76553637,1387019.795980,1137081.765540
1387019.79598360,1137241.92178637,1387019.795980,1137241.921790
1386967.71265024,1137334.36970302,1386967.712650,1137334.369700
1386872.66056694,1137454.16136968,1386872.660570,1137454.161370
1386804.95223357,1137554.42178637,1386804.952230,1137554.421790
1386765.88973360,1137579.16136970,1386765.889730,1137579.161370
1386627.86890027,1137609.10928637,1386627.868900,1137609.109290
1386552.34806690,1137584.36970302,1386552.348070,1137584.369700
1386355.73348360,1137476.29678637,1386355.733480,1137476.296790
1386187.76473357,1137387.75511970,1386187.764730,1137387.755120
1386094.01473358,1137338.27595302,1386094.014730,1137338.275950
1385936.46265027,1137253.64053635,1385936.462650,1137253.640540
1385863.54598355,1137231.50511968,1385863.545980,1137231.505120
1385689.06681690,1137279.68220302,1385689.066820,1137279.682200
1385603.12931693,1137275.77595304,1385603.129320,1137275.775950
1385437.76473360,1137210.67178635,1385437.764730,1137210.671790
1385285.42098360,1137236.71345304,1385285.420980,1137236.713450
1385150.00431693,1137395.56761970,1385150.004320,1137395.567620
1385100.52515028,1137415.09886970,1385100.525150,1137415.098870
1384949.48348360,1137389.05720302,1384949.483480,1137389.057200
1384851.82723358,1137320.04678635,1384851.827230,1137320.046790
1384737.24390028,1137222.39053637,1384737.243900,1137222.390540
1384689.06681691,1137126.03636968,1384689.066820,1137126.036370
1393695.32405077,1139229.44348776,1393695.324050,1139229.443490
1393649.75113411,1139161.73515444,1393649.751130,1139161.735150
1393537.77196741,1139070.58932108,1393537.771970,1139070.589320
1393393.24071740,1138985.95390442,1393393.240720,1138985.953900
1393270.84488410,1138811.47473775,1393270.844880,1138811.474740
1393174.49071741,1138687.77682108,1393174.490720,1138687.776820
1393115.89696743,1138638.29765444,1393115.896970,1138638.297650
1393083.34488407,1138610.95390444,1393083.344880,1138610.953900
1392941.41780072,1138635.69348776,1392941.417800,1138635.693490
